name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S4-PC,Na2S4,,PC,-136.71990673671695,88.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.739, -0.045, -0.044, -0.739]}, {'Element': 'Na', 'Oxidation States': [0.973, 0.973]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71989509051986,33.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-vdw,Na2S4,,PC,-136.73297371806615,71.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.715, -0.042, -0.048, -0.722]}, {'Element': 'Na', 'Oxidation States': [0.945, 0.946]}]"
Na2S4-PC-vdw-elecmin,Na2S4,,PC,-136.73329457265282,10.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.72, -0.043, -0.046, -0.721]}, {'Element': 'Na', 'Oxidation States': [0.95, 0.95]}]"
Na2S4-elecmin,Na2S4,,Vacuum,-136.5304732228165,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.583, 0.005, 0.004, -0.583]}, {'Element': 'Na', 'Oxidation States': [0.765, 0.765]}]"
Na2S4-glyme,Na2S4,,Glyme,-136.57379304449137,27.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.633, -0.019, -0.02, -0.634]}, {'Element': 'Na', 'Oxidation States': [0.839, 0.84]}]"
Na2S4-glyme-elecmin,Na2S4,,Glyme,-136.57378967410017,13.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.633, -0.018, -0.02, -0.635]}, {'Element': 'Na', 'Oxidation States': [0.839, 0.84]}]"
Na2S4-glyme-vdw,Na2S4,,Glyme,-136.57902570755738,13.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.634, -0.021, -0.022, -0.634]}, {'Element': 'Na', 'Oxidation States': [0.842, 0.842]}]"
Na2S4-glyme-vdw-elecmin,Na2S4,,Glyme,-136.5790257099187,1.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.634, -0.021, -0.022, -0.634]}, {'Element': 'Na', 'Oxidation States': [0.842, 0.842]}]"
Na2S4-vdw,Na2S4,,Vacuum,-136.5347640994844,4.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.583, 0.004, 0.004, -0.583]}, {'Element': 'Na', 'Oxidation States': [0.765, 0.765]}]"
Na2S4-vdw-elecmin,Na2S4,,Vacuum,-136.53476409830873,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.583, 0.004, 0.004, -0.583]}, {'Element': 'Na', 'Oxidation States': [0.765, 0.765]}]"
Na2S6,Na2S6,,Vacuum,-157.09853753691036,0.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.392, 0.392, -0.457, -0.457, 0.392, -0.393]}, {'Element': 'Na', 'Oxidation States': [0.72, 0.721]}]"
Na2S6-PC,Na2S6,,PC,-157.26833280235573,4.0,True,False,"[{'Element': 'S', 'Oxidation States': [-0.581, 0.344, -0.399, -0.399, 0.344, -0.581]}, {'Element': 'Na', 'Oxidation States': [0.895, 0.895]}]"
Na2S6-PC-elecmin,Na2S6,,PC,-157.2692756851122,6.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.568, 0.363, -0.409, -0.409, 0.361, -0.57]}, {'Element': 'Na', 'Oxidation States': [0.9, 0.9]}]"
Na2S6-PC-vdw,Na2S6,,PC,-157.28845237270195,7.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.517, 0.349, -0.469, -0.469, 0.348, -0.518]}, {'Element': 'Na', 'Oxidation States': [0.9, 0.899]}]"
