name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97429496607847,1.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97431954508434,2.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97432614397852,3.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97433985089509,4.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97434958230207,5.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.9743701349804,8.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.9743616369307,6.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438766880111,16.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438744065735,15.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438594624701,14.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438458843831,13.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97436696200528,7.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97437893499878,11.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97437638480292,10.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438846251998,17.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw,Na2S2,,Glyme,-115.97438353012184,12.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.869, 0.869]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.9743886489149,1.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.97439097476347,2.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.97438843160282,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.97439337829792,5.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.97439294721329,4.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-glyme-vdw-elecmin,Na2S2,,Glyme,-115.97439215953314,3.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.765, -0.765]}, {'Element': 'Na', 'Oxidation States': [0.87, 0.87]}]"
Na2S2-vdw,Na2S2,,Vacuum,-115.92278202673343,0.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S2-vdw,Na2S2,,Vacuum,-115.92278271907915,1.0,True,True,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S2-vdw-elecmin,Na2S2,,Vacuum,-115.92278271850623,0.0,False,True,"[{'Element': 'S', 'Oxidation States': [-0.704, -0.704]}, {'Element': 'Na', 'Oxidation States': [0.81, 0.81]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71979433034303,23.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.7185502634308,8.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71833579253462,7.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71782444501486,6.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71647690737086,5.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.67414323569065,1.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.7064609329185,3.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.6981602729751,2.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.7190280435088,9.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.67007287371496,0.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71985778243618,26.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71356958351544,4.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.7194523361594,10.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.7196060964733,14.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.71954691604765,12.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
Na2S4-PC-elecmin,Na2S4,,PC,-136.7195957871021,13.0,False,False,"[{'Element': 'S', 'Oxidation States': [-0.732, -0.043, -0.043, -0.733]}, {'Element': 'Na', 'Oxidation States': [0.963, 0.963]}]"
