name,NaPS,sorbent,solvent,energy,iteration,electronic_scf,vdw,oxidation_states
NiS2-PC-elecmin,,NiS2,PC,-6904.101344045369,0.0,False,False,"{'Ni': [0.242, -0.446, -0.446, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242], 'S': [0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29]}"
NiS2-elecmin,,NiS2,Vacuum,-6903.768851716705,0.0,False,False,"{'Ni': [-0.002, -0.449, -0.449, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002], 'S': [0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318]}"
NiS2-glyme-elecmin,,NiS2,Glyme,-6903.820778679468,0.0,False,False,"{'Ni': [0.019, -0.448, -0.448, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019], 'S': [0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316]}"
NiS2_S-PC-elecmin,,NiS2_S,PC,-6904.101344045369,0.0,False,False,"{'Ni': [0.242, -0.446, -0.446, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242, 0.242, 0.242, -0.446, -0.446, -0.446, -0.446, 0.242, 0.242], 'S': [0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, -0.215, 0.047, 0.444, 0.29, 0.047, -0.215, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29, 0.29, 0.444, 0.047, -0.215, -0.215, 0.047, 0.444, 0.29]}"
NiS2_S-elecmin,,NiS2_S,Vacuum,-6903.768851716705,0.0,False,False,"{'Ni': [-0.002, -0.449, -0.449, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002, -0.002, -0.002, -0.449, -0.449, -0.449, -0.449, -0.002, -0.002], 'S': [0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, -0.014, 0.085, 0.445, 0.318, 0.085, -0.014, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318, 0.318, 0.445, 0.085, -0.014, -0.014, 0.085, 0.445, 0.318]}"
NiS2_S-glyme-elecmin,,NiS2_S,Glyme,-6903.820778679468,0.0,False,False,"{'Ni': [0.019, -0.448, -0.448, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019, 0.019, 0.019, -0.448, -0.448, -0.448, -0.448, 0.019, 0.019], 'S': [0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, -0.041, 0.088, 0.445, 0.316, 0.088, -0.041, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316, 0.316, 0.445, 0.088, -0.041, -0.041, 0.088, 0.445, 0.316]}"
TiO2,,TiO2,Vacuum,-1630.2493155026827,0.0,True,False,"{'Ti': [1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586], 'O': [-0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.742, -0.743, -0.743]}"
TiO2-PC-elecmin,,TiO2,PC,-1632.209245728873,0.0,False,False,"{'Ti': [2.208, 2.231, 2.209, 2.231, 2.209, 2.231, 2.209, 2.231, 2.21, 2.231, 2.21, 2.231, 2.209, 2.231, 2.21, 2.231, 2.21, 2.231], 'O': [-0.95, -0.95, -0.948, -0.948, -0.95, -0.95, -0.948, -0.948, -0.95, -0.95, -0.948, -0.948, -0.95, -0.95, -0.948, -0.948, -0.95, -0.95, -0.948, -0.948, -0.95, -0.949, -0.948, -0.948, -0.95, -0.95, -0.948, -0.948, -0.95, -0.949, -0.948, -0.948, -0.95, -0.949, -0.948, -0.948]}"
TiO2-elecmin,,TiO2,Vacuum,-1630.2492973995968,0.0,False,False,"{'Ti': [1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586, 1.586], 'O': [-0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.743, -0.742, -0.743, -0.743]}"
TiO2-glyme,,TiO2,Glyme,-1630.2773977932413,0.0,True,False,"{'Ti': [1.625, 1.626, 1.625, 1.624, 1.625, 1.624, 1.625, 1.624, 1.624, 1.625, 1.625, 1.622, 1.625, 1.624, 1.625, 1.622, 1.624, 1.623], 'O': [-0.762, -0.762, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.762, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761, -0.761]}"
