name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S6-elecmin,Na2S6,,S–S–Na,83.34,Vacuum,False,False,6,78.84,8.93,8.15,3.64,0.90
Na2S6-elecmin,Na2S6,,S–S–S,111.17,Vacuum,False,False,2,111.17,0.03,0.02,0.02,nan
Na2S6-elecmin,Na2S6,,Na–S–Na,97.77,Vacuum,False,False,2,97.77,0.06,0.04,0.04,nan
Na2S6-elecmin,Na2S6,,S–Na–S,86.80,Vacuum,False,False,6,81.13,14.38,13.13,5.87,0.78
Na2S6-glyme,Na2S6,,S–S–Na,85.73,Glyme,True,False,5,83.30,7.85,7.02,3.51,2.13
Na2S6-glyme,Na2S6,,S–S–S,111.56,Glyme,True,False,2,111.56,0.03,0.02,0.02,nan
Na2S6-glyme,Na2S6,,Na–S–Na,107.91,Glyme,True,False,1,107.91,nan,0.00,nan,nan
Na2S6-glyme,Na2S6,,S–Na–S,76.86,Glyme,True,False,4,70.41,12.96,11.23,6.48,2.00
Na2S6-glyme-elecmin,Na2S6,,S–Na–S,70.56,Glyme,False,False,2,70.56,0.09,0.07,0.07,nan
Na2S6-glyme-elecmin,Na2S6,,S–S–S,111.61,Glyme,False,False,2,111.61,0.07,0.05,0.05,nan
Na2S6-glyme-elecmin,Na2S6,,S–S–Na,82.35,Glyme,False,False,4,82.35,1.35,1.16,0.67,0.00
Na2S6-glyme-vdw,Na2S6,,S–S–Na,88.69,Glyme,True,True,3,83.22,9.64,7.87,5.56,1.73
Na2S6-glyme-vdw,Na2S6,,S–S–S,111.61,Glyme,True,True,2,111.61,0.04,0.03,0.03,nan
Na2S6-glyme-vdw,Na2S6,,S–Na–S,95.82,Glyme,True,True,1,95.82,nan,0.00,nan,nan
Na2S6-glyme-vdw-elecmin,Na2S6,,S–Na–S,95.75,Glyme,False,True,1,95.75,nan,0.00,nan,nan
Na2S6-glyme-vdw-elecmin,Na2S6,,S–S–S,111.57,Glyme,False,True,2,111.57,0.06,0.04,0.04,nan
Na2S6-glyme-vdw-elecmin,Na2S6,,S–S–Na,88.86,Glyme,False,True,3,83.44,9.45,7.72,5.46,1.73
Na2S6-vdw,Na2S6,,S–S–Na,83.57,Vacuum,True,True,6,79.18,8.91,8.13,3.64,0.89
Na2S6-vdw,Na2S6,,S–S–S,111.16,Vacuum,True,True,2,111.16,0.01,0.01,0.01,nan
Na2S6-vdw,Na2S6,,Na–S–Na,97.74,Vacuum,True,True,2,97.74,0.02,0.02,0.02,nan
Na2S6-vdw,Na2S6,,S–Na–S,86.49,Vacuum,True,True,6,81.07,14.32,13.07,5.84,0.75
Na2S6-vdw-elecmin,Na2S6,,S–Na–S,86.49,Vacuum,False,True,6,81.07,14.32,13.07,5.84,0.75
Na2S6-vdw-elecmin,Na2S6,,S–S–Na,83.57,Vacuum,False,True,6,79.18,8.91,8.13,3.64,0.89
Na2S6-vdw-elecmin,Na2S6,,Na–S–Na,97.74,Vacuum,False,True,2,97.74,0.02,0.02,0.02,nan
Na2S6-vdw-elecmin,Na2S6,,S–S–S,111.16,Vacuum,False,True,2,111.16,0.01,0.01,0.01,nan
Na2S8,Na2S8,,S–S–Na,96.40,Vacuum,True,False,4,86.19,24.78,21.46,12.39,1.91
Na2S8,Na2S8,,Na–S–Na,81.09,Vacuum,True,False,1,81.09,nan,0.00,nan,nan
Na2S8,Na2S8,,S–S–S,114.39,Vacuum,True,False,2,114.39,2.51,1.77,1.77,nan
Na2S8,Na2S8,,S–Na–Na,65.12,Vacuum,True,False,4,53.31,26.44,22.90,13.22,1.89
Na2S8,Na2S8,,S–Na–S,115.13,Vacuum,True,False,2,115.13,12.39,8.76,8.76,nan
Na2S8-PC,Na2S8,,S–S–S,110.47,PC,True,False,4,111.05,4.46,3.86,2.23,-0.25
Na2S8-PC-elecmin,Na2S8,,S–S–S,110.48,PC,False,False,4,111.07,4.52,3.91,2.26,-0.23
Na2S8-PC-vdw,Na2S8,,S–S–S,112.39,PC,True,True,4,113.41,3.95,3.42,1.98,-0.98
Na2S8-PC-vdw-elecmin,Na2S8,,S–S–S,112.23,PC,False,True,4,113.35,3.82,3.31,1.91,-1.30
Na2S8-elecmin,Na2S8,,S–S–Na,96.40,Vacuum,False,False,4,86.19,24.78,21.46,12.39,1.91
Na2S8-elecmin,Na2S8,,S–S–S,114.39,Vacuum,False,False,2,114.39,2.51,1.77,1.77,nan
Na2S8-elecmin,Na2S8,,S–Na–S,115.13,Vacuum,False,False,2,115.13,12.39,8.76,8.76,nan
Na2S8-elecmin,Na2S8,,S–Na–Na,65.12,Vacuum,False,False,4,53.31,26.44,22.90,13.22,1.89
Na2S8-elecmin,Na2S8,,Na–S–Na,81.09,Vacuum,False,False,1,81.09,nan,0.00,nan,nan
Na2S8-glyme,Na2S8,,S–S–S,111.27,Glyme,True,False,6,111.98,4.14,3.78,1.69,-1.15
Na2S8-glyme,Na2S8,,S–S–Na,102.09,Glyme,True,False,4,100.63,12.39,10.73,6.19,0.36
Na2S8-glyme,Na2S8,,Na–S–Na,84.54,Glyme,True,False,2,84.54,0.18,0.12,0.12,nan
Na2S8-glyme,Na2S8,,S–Na–S,92.04,Glyme,True,False,2,92.04,0.08,0.06,0.06,nan
Na2S8-glyme-elecmin,Na2S8,,S–S–Na,102.70,Glyme,False,False,4,100.83,16.96,14.69,8.48,0.46
Na2S8-glyme-elecmin,Na2S8,,S–S–S,111.18,Glyme,False,False,6,111.38,3.73,3.40,1.52,-0.11
Na2S8-glyme-elecmin,Na2S8,,Na–S–Na,82.02,Glyme,False,False,2,82.02,1.17,0.83,0.83,nan
Na2S8-glyme-elecmin,Na2S8,,S–Na–S,95.74,Glyme,False,False,2,95.74,1.49,1.05,1.05,nan
