name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-elecmin,Na2S4,,S–S–S,PC,False,False,2,112.59,112.59,0.01,0.01,0.01,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
Na2S4-PC-vdw,Na2S4,,S–S–S,PC,True,True,2,113.36,113.36,0.47,0.33,0.33,nan
