name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S4-PC-vdw-elecmin,Na2S4,,S–Na–S,52.51,PC,False,True,6,53.43,18.70,17.07,7.64,-0.11
Na2S4-PC-vdw-elecmin,Na2S4,,S–S–S,113.78,PC,False,True,2,113.78,0.29,0.20,0.20,nan
Na2S4-PC-vdw-elecmin,Na2S4,,Na–S–Na,75.55,PC,False,True,2,75.55,0.04,0.03,0.03,nan
Na2S4-elecmin,Na2S4,,S–Na–Na,51.76,Vacuum,False,False,8,49.03,6.50,6.08,2.30,1.33
Na2S4-elecmin,Na2S4,,S–S–Na,69.43,Vacuum,False,False,12,67.40,13.52,12.94,3.90,0.27
Na2S4-elecmin,Na2S4,,Na–S–Na,76.49,Vacuum,False,False,4,76.47,6.25,5.41,3.12,0.00
Na2S4-elecmin,Na2S4,,S–S–S,109.11,Vacuum,False,False,2,109.11,0.04,0.03,0.03,nan
Na2S4-elecmin,Na2S4,,S–Na–S,60.62,Vacuum,False,False,12,56.65,21.94,21.01,6.33,0.41
Na2S4-glyme,Na2S4,,S–S–S,67.48,Glyme,True,False,8,62.76,34.85,32.60,12.32,0.15
Na2S4-glyme,Na2S4,,S–S–Na,64.69,Glyme,True,False,20,61.30,14.34,13.97,3.21,0.77
Na2S4-glyme,Na2S4,,Na–S–Na,77.61,Glyme,True,False,4,77.54,6.99,6.05,3.49,0.00
Na2S4-glyme,Na2S4,,S–Na–S,57.14,Glyme,True,False,12,53.42,20.94,20.05,6.04,0.45
Na2S4-glyme,Na2S4,,S–Na–Na,51.19,Glyme,True,False,8,48.19,6.66,6.23,2.36,1.39
Na2S4-glyme-elecmin,Na2S4,,S–S–S,67.53,Glyme,False,False,8,62.87,34.86,32.61,12.33,0.15
Na2S4-glyme-elecmin,Na2S4,,S–S–Na,64.69,Glyme,False,False,20,61.16,14.35,13.99,3.21,0.77
Na2S4-glyme-elecmin,Na2S4,,Na–S–Na,77.50,Glyme,False,False,4,77.48,6.91,5.99,3.46,0.00
Na2S4-glyme-elecmin,Na2S4,,S–Na–S,57.16,Glyme,False,False,12,53.42,20.97,20.07,6.05,0.45
Na2S4-glyme-elecmin,Na2S4,,S–Na–Na,51.25,Glyme,False,False,8,48.21,6.71,6.28,2.37,1.38
Na2S4-glyme-vdw,Na2S4,,S–Na–Na,50.68,Glyme,True,True,8,47.59,6.63,6.20,2.34,1.40
Na2S4-glyme-vdw,Na2S4,,S–Na–S,56.60,Glyme,True,True,12,52.98,20.67,19.79,5.97,0.44
Na2S4-glyme-vdw,Na2S4,,S–S–S,75.74,Glyme,True,True,5,89.81,37.43,33.48,16.74,-0.43
Na2S4-glyme-vdw,Na2S4,,Na–S–Na,78.64,Glyme,True,True,4,78.56,7.08,6.13,3.54,0.00
Na2S4-glyme-vdw,Na2S4,,S–S–Na,67.13,Glyme,True,True,16,67.27,14.88,14.41,3.72,0.56
Na2S4-glyme-vdw-elecmin,Na2S4,,S–S–Na,67.13,Glyme,False,True,16,67.27,14.88,14.41,3.72,0.56
