name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
NiS2_S-PC-elecmin,,NiS2_S,S–Ni–S,103.24,PC,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2_S-elecmin,,NiS2_S,Ni–S–Ni,113.91,Vacuum,False,False,93,113.91,0.00,0.00,0.00,0.35
NiS2_S-elecmin,,NiS2_S,Ni–S–S,104.56,Vacuum,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2_S-elecmin,,NiS2_S,S–Ni–S,103.24,Vacuum,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2_S-glyme-elecmin,,NiS2_S,Ni–S–S,104.56,Glyme,False,False,59,104.56,0.00,0.00,0.00,-0.32
NiS2_S-glyme-elecmin,,NiS2_S,S–Ni–S,103.24,Glyme,False,False,239,93.58,32.56,32.49,2.11,1.92
NiS2_S-glyme-elecmin,,NiS2_S,Ni–S–Ni,113.91,Glyme,False,False,93,113.91,0.00,0.00,0.00,0.35
TiO2,,TiO2,Ti–O–Ti,130.54,Vacuum,True,False,25,130.54,0.00,0.00,0.00,-0.67
TiO2,,TiO2,O–Ti–O,102.85,Vacuum,True,False,82,90.00,33.85,33.64,3.74,1.87
TiO2-PC-elecmin,,TiO2,Ti–O–Ti,130.54,PC,False,False,25,130.54,0.00,0.00,0.00,-0.67
TiO2-PC-elecmin,,TiO2,O–Ti–O,102.85,PC,False,False,82,90.00,33.85,33.64,3.74,1.87
TiO2-elecmin,,TiO2,O–Ti–O,102.85,Vacuum,False,False,82,90.00,33.85,33.64,3.74,1.87
TiO2-elecmin,,TiO2,Ti–O–Ti,130.54,Vacuum,False,False,25,130.54,0.00,0.00,0.00,-0.67
TiO2-glyme,,TiO2,Ti–O–Ti,130.54,Glyme,True,False,25,130.54,0.00,0.00,0.00,-0.67
TiO2-glyme,,TiO2,O–Ti–O,102.85,Glyme,True,False,82,90.00,33.85,33.64,3.74,1.87
TiO2-glyme-elecmin,,TiO2,Ti–O–Ti,130.54,Glyme,False,False,25,130.54,0.00,0.00,0.00,-0.67
