name,NaPS,sorbent,Atoms,solvent,electronic_scf,vdw,Count,Mean /Å,Median /Å,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
graphene-PC-elecmin,,graphene,C–C,PC,False,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
graphene-PC-elecmin-vdw,,graphene,C–C,PC,False,True,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
graphene-SCF,,graphene,C–C,Vacuum,True,False,96,1.4261,1.4257,0.0011,0.0010,0.0001,2.3046
graphene-SCF-vdw,,graphene,C–C,Vacuum,True,True,96,1.4261,1.4257,0.0011,0.0010,0.0001,2.3046
graphene-elecmin,,graphene,C–C,Vacuum,False,False,96,1.4261,1.4257,0.0011,0.0010,0.0001,2.3046
graphene-elecmin-vdw,,graphene,C–C,Vacuum,False,True,96,1.4261,1.4257,0.0011,0.0010,0.0001,2.3046
graphene-glyme-SCF,,graphene,C–C,Glyme,True,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
graphene-glyme-SCF-vdw,,graphene,C–C,Glyme,True,True,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
graphene-glyme-elecmin,,graphene,C–C,Glyme,False,False,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
graphene-glyme-vdw-elecmin,,graphene,C–C,Glyme,False,True,96,1.4261,1.4261,0.0000,0.0000,0.0000,0.0000
