name,NaPS,sorbent,Atoms,Mean,solvent,electronic_scf,vdw,Count,Median,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S6-PC-vdw,Na2S6,,S–S,2.4983,PC,True,True,7,2.0014,0.6550,0.6064,0.2476,0.6849
Na2S6-PC-vdw-elecmin,Na2S6,,Na–Na,4.6358,PC,False,True,1,4.6358,nan,0.0000,nan,nan
Na2S6-PC-vdw-elecmin,Na2S6,,S–Na,3.2842,PC,False,True,10,3.0905,0.3341,0.3169,0.1056,1.1465
Na2S6-PC-vdw-elecmin,Na2S6,,S–S,2.5205,PC,False,True,7,2.0478,0.6474,0.5994,0.2447,0.7412
Na2S6-elecmin,Na2S6,,S–S,2.4851,Vacuum,False,False,7,2.0314,0.6242,0.5779,0.2359,0.7289
Na2S6-elecmin,Na2S6,,S–Na,2.9735,Vacuum,False,False,10,2.7874,0.3338,0.3167,0.1056,1.2980
Na2S6-elecmin,Na2S6,,Na–Na,4.1837,Vacuum,False,False,1,4.1837,nan,0.0000,nan,nan
Na2S6-glyme,Na2S6,,S–Na,3.1593,Glyme,True,False,10,2.9327,0.3851,0.3653,0.1218,1.1540
Na2S6-glyme,Na2S6,,Na–Na,4.7200,Glyme,True,False,1,4.7200,nan,0.0000,nan,nan
Na2S6-glyme,Na2S6,,S–S,2.5904,Glyme,True,False,8,2.3461,0.6595,0.6169,0.2332,0.3059
Na2S6-glyme-elecmin,Na2S6,,S–S,2.5889,Glyme,False,False,8,2.3454,0.6570,0.6145,0.2323,0.3039
Na2S6-glyme-elecmin,Na2S6,,Na–Na,4.7555,Glyme,False,False,1,4.7555,nan,0.0000,nan,nan
Na2S6-glyme-elecmin,Na2S6,,S–Na,3.1629,Glyme,False,False,10,2.9495,0.3899,0.3699,0.1233,1.1561
Na2S6-glyme-vdw,Na2S6,,Na–Na,4.6934,Glyme,True,True,1,4.6934,nan,0.0000,nan,nan
Na2S6-glyme-vdw,Na2S6,,S–S,2.4794,Glyme,True,True,7,2.0114,0.6256,0.5792,0.2365,0.7463
Na2S6-glyme-vdw,Na2S6,,S–Na,3.1759,Glyme,True,True,10,2.9439,0.3776,0.3582,0.1194,1.1362
Na2S6-glyme-vdw-elecmin,Na2S6,,Na–Na,4.7090,Glyme,False,True,1,4.7090,nan,0.0000,nan,nan
Na2S6-glyme-vdw-elecmin,Na2S6,,S–S,2.4790,Glyme,False,True,7,2.0121,0.6252,0.5789,0.2363,0.7483
Na2S6-glyme-vdw-elecmin,Na2S6,,S–Na,3.1773,Glyme,False,True,10,2.9533,0.3779,0.3585,0.1195,1.1278
Na2S6-vdw,Na2S6,,S–S,2.4864,Vacuum,True,True,7,2.0323,0.6245,0.5782,0.2361,0.7238
Na2S6-vdw,Na2S6,,S–Na,2.9871,Vacuum,True,True,10,2.8050,0.3344,0.3172,0.1057,1.2777
Na2S6-vdw,Na2S6,,Na–Na,4.2022,Vacuum,True,True,1,4.2022,nan,0.0000,nan,nan
Na2S6-vdw-elecmin,Na2S6,,Na–Na,4.2022,Vacuum,False,True,1,4.2022,nan,0.0000,nan,nan
Na2S6-vdw-elecmin,Na2S6,,S–S,2.4864,Vacuum,False,True,7,2.0323,0.6245,0.5782,0.2361,0.7238
Na2S6-vdw-elecmin,Na2S6,,S–Na,2.9871,Vacuum,False,True,10,2.8050,0.3344,0.3172,0.1057,1.2777
Na2S8,Na2S8,,S–S,2.5026,Vacuum,True,False,10,2.2174,0.6281,0.5958,0.1986,0.7956
